Occurence Nature condition,,Report,Occurence Nature condition,prediction
OTHER                     ,43040,"['supplemental', 'information', 'emergency', 'exit', 'light', 'battery', 'pack', 'm1673', 'aft', 'galley', 'ceiling', 'lh', 'charge', 'emergency', 'exit', 'light', 'battery', 'pack', 'm1673', 'aft', 'galley', 'ceiling', 'lh', 'charge', '01', 'replaced', 'emergency', 'exit', 'light', 'battery', 'pack', 'm1673', 'ops', 'check', 'good', 'iaw', 'amm', '335106960805', '02', 'verified', 'step', '1braudit', 'cw']",OTHER                     ,NO TEST                   
F.O.D.                    ,18817,"['ship', '3309', 'flight', 'door', 'l', 'aft', 'cabin', 'l4', 'illuminate', 'cabin', 'press', 'issues', 'corrective', 'action', 'op', 'check', 'normal', 'verified', 'prox', 'switch', 'condition', 'cleaned', 'check', 'prox', 'switch', '23mj', '25mj', 'gaps', 'per', 'a330', 'amm', '527111', 'ok', 'service', '8082436']",F.O.D.                    ,OTHER                     
INADEQUATE Q C            ,52096,"['flt', '543', 'ewrpbi', '4', 'fa', 'smelled', 'dirty', 'socks', 'smell', 'ewr', 'fa', 'said', 'smell', 'went', 'away', 'several', 'paxs', 'complained', 'smell', 'smell', 'came', 'back', 'descent', 'fa', 'stated', 'complied', 'info', 'noticie', '2017t015f', 'section', 'b', 'apu', 'bleed', 'placed', 'mel', '361202b', 'lp', '3094198', 'aircraft', 'ok', 'service', 'ts', 'odor', 'event', 'w', 'tsm', '055000810831a', 'discovered', 'apu', 'overserviced', 'deserviced', 'apu', 'cleaned', 'apu', 'intake', 'diffuser', 'elbow', 'performed', 'level', 'decomtamination', 'ecs', 'replaced', 'recirc', 'fan', 'filters', 'iaw', 'amm', '210000615802a', 'mel', 'cleared', 'mcc']",INADEQUATE Q C            ,SMOKE/FUMES/ODORS/SPARKS  
OTHER                     ,26456,"['flap', 'fail', 'eicas', 'flaps', 'move', 'flap', '9', 'selected', 'cmc', 'left', 'transmission', 'brake', 'fail', 'today', 'lgeu', 'fail', '2', 'days', 'ago', 'inspected', 'flexible', 'lines', 'water', 'inside', 'found', 'moisture', 'performed', 'zero', 'degree', 'rigging', 'lt', 'side', 'without', 'difficulty', 'found', 'right', 'hand', 'side', 'wing', 'brake', 'releasing', 'mechanically', 'releasing', 'electrically', 'r', 'r', 'right', 'hand', 'side', 'wing', 'brake', 'operations', 'check', 'sat', 'tim']",OTHER                     ,FALSE WARNING             
OTHER                     ,53720,"['aircraft', 'grounded', 'l3', 'window', 'delaminating', 'lower', 'edge', 'lower', 'forward', 'corner', 'replaced', 'l3', 'window', 'serviceable', 'unit', 'iaw', 'amm', '561121', 'ops', 'check', 'good']",OTHER                     ,OVER TEMP                 
WARNING INDICATION        ,2185,"['aircraft', 'grounded', 'vent', 'skin', 'valve', 'fault', 'take', 'off', 'aircraft', 'would', 'pressurize', 'cabin', 'altitude', 'pressure', '8750', '10000', 'feet', 'skin', 'air', 'outlet', 'valve', 'replaced', 'iaw', 'amm', '212653400001a01']",WARNING INDICATION        ,OTHER                     
OTHER                     ,1572,"['aircraft', 'base', 'maintenance', 'r1', 'door', 'slide', 'bottom', 'rubber', 'protective', 'cover', 'worn', 'several', 'places', 'replaced', 'r1', 'door', 'slide', 'serviceable', 'unit', 'iaw', 'b737ng', 'amm', '256601']",OTHER                     ,NO TEST                   
WARNING INDICATION        ,4379,"['aircraft', 'grounded', 'takeoff', 'horizontal', 'stabilizer', 'trim', 'inoperative', 'manual', 'trim', 'wheel', 'utilized', 'severe', 'binding', 'nose', 'nose', 'directions', 'replaced', 'stabilizer', 'trim', 'motor', 'serviceable', 'unit', 'iaw', 'fim', '274100810804', 'ops', 'check', 'good']",WARNING INDICATION        ,OTHER                     
OTHER                     ,56255,"['aircraft', 'base', 'maintenance', 'business', 'seat', '7g', 'missing', 'emergency', 'light', 'lens', 'removed', 'replaced', 'floor', 'proximity', 'lights', 'assembly', 'per', 'amm', '335105']",OTHER                     ,INADEQUATE Q C            
OTHER                     ,3383,"['aircraft', 'grounded', 'emergency', 'light', 'broken', 'floor', 'level', '1l', 'closet', 'door', 'replaced', 'light', 'assembly', 'per', 'swpm', '203012', 'amm', '335100']",OTHER                     ,NO TEST                   
FLUID LOSS                ,5580,"['aircraft', 'grounded', 'flight', 'attendant', 'report', 'odor', 'cabin', 'boarding', 'maintenance', 'found', 'apu', 'oil', 'cooler', 'leaking', 'supplemental', 'report', 'submitted', 'open']",FLUID LOSS                ,SMOKE/FUMES/ODORS/SPARKS  
FALSE WARNING             ,95794,"['spoke', 'flt', 'crew', 'sfo', 'lt', 'sys', '83', 'center', '93', 'rt', 'sys', '98', 'normal', 'flt', 'mlg', 'center', 'went', 'zero', 'also', 'center', 'sys', 'pressure', 'went', 'zero', '88', 'serviced', 'center', 'hyd', 'sys', '89', '32pressurized', 'hyd', 'sys', 'leaks', 'found', 'acft', 'aft', 'horizantal', 'stab', 'autopilot', 'elevator', 'servos', 'hyd', 'fluid', 'them', 'ran', 'autopilot', 'test', 'twice', 'leaksafter', 'running', 'center', 'hyd', 'sys', 'performed', 'leak', 'check', 'center', 'hyd', 'sys', 'iaw', 'removed', 'c2', 'acmp', 'center', 'sys', 'iaw', 'amm', '291102', 'due', 'replaced', 'c2', 'acmp', 'iaw', '291102404016', 'ops', 'leak', 'checked', 'good', 'iaw', 'fim', '2911', 'fault', 'tree', '801c3', 'step', '4', 'leaks', 'found', 'previous', 'history', 'requires', 'installation', 'test', 'ops', 'check', 'ran', 'pump', 'several', 'mins', 'fuild', 'level', 'remained', 'insp']",FALSE WARNING             ,FLUID LOSS                
OTHER                     ,14894,"['emergency', 'aisle', 'light', 'inoperative', 'rows', '3340', 'maintenance', 'replaced', 'battery', 'packs', 'system', 'operation', 'normallp', '6292575']",OTHER                     ,NO TEST                   
OTHER                     ,94096,"['aircraft', 'base', 'maintenance', 'left', 'hand', 'horizontal', 'stabilzer', '4', 'elevator', 'hinge', 'arm', 'bearing', 'excessive', 'play', 'maintenance', 'replaced', 'hinge', 'arm', 'end', 'fitting', 'per', 'amm', '551642']",OTHER                     ,NO TEST                   
WARNING INDICATION        ,70269,"['level', 'fl430', 'duct', '1', 'overtemp', 'cass', 'message', 'ran', 'qrh', 'could', 'get', 'go', 'away', 'pulled', 'throttle', 'idle', 'diverted', 'landed', 'nr', '1', 'throttle', 'idle', 'removed', 'cockpit', 'temperature', 'modulating', 'valve', 'installed', 'overhauled', 'cockpit', 'temperature', 'modulating', 'valve', 'iaw', 'amm', '216102', 'op', 'checked', 'good', 'faults', 'removed', 'duct', 'temperature', 'sensor', 'installed', 'new', 'duct', 'temperature', 'sensor', 'iaw', '216103000801a', '216103400801', 'op', 'checked', 'good', 'fault']",WARNING INDICATION        ,FLT CONT AFFECTED         
OTHER                     ,94796,"['aircraft', 'base', 'maintenance', 'vidio', 'control', 'cabinet', 'broken', 'emergency', 'light', 'removed', 'replaced', 'emergency', 'floor', 'proximity', 'light', 'assembly', 'l33630']",OTHER                     ,NO TEST                   
WARNING INDICATION        ,58697,"['aircraft', 'grounded', 'left', 'wing', 'body', 'overheat', 'light', 'descent', 'dca', 'emergency', 'declared', 'flight', 'landed', 'safely', 'replaced', 'detectors', 'm268', 'aala202209065104', 'm1761', 'aala202209067061', 'm1762', 'aala202209064772', 'per', 'amm', '261802', 'accomplished', 'satisfactory', 'bite', 'test', 'overheat', 'detection', 'control', 'module', 'per', 'amm', '261800']",WARNING INDICATION        ,OVER TEMP                 
FALSE WARNING             ,11839,"['taxing', 'onto', 'runway', '26l', 'katl', 'flight', 'crew', 'received', 'red', 'baggage', 'smoke', 'cas', 'message', 'crew', 'requested', 'exit', 'runway', 'ran', 'appropriate', 'checklist', 'requested', 'fire', 'rescue', 'proceeded', 'run', 'area', 'due', 'possible', 'baggage', 'fire', 'crew', 'advised', 'tower', 'shutting', 'airplane', 'exited', 'aircraft', 'firerescue', 'confirmed', 'fire', 'smoke', 'maintenance', 'found', 'dust', 'lint', 'around', 'baggage', 'smoke', 'detector', 'housing', 'causing', 'issue', 'housing', 'cleared', 'dust', 'lint', 'satisfactory', 'functional', 'test', 'performed', 'aircraft', 'returned', 'servic']",FALSE WARNING             ,FLAME/FIRE                
OTHER                     ,17050,"['log', '7618086', 'inspection', 'found', 'battery', 'pack', 'emergency', 'lights', 'power', 'pack', 'm1671', 'inoperative', 'replaced', 'battery', 'pack', 'power', 'pack', 'm1671', 'tested', 'per', 'b737', 'amm', '3351', 'ops', 'nml']",OTHER                     ,NO TEST                   
FLUID LOSS                ,22411,"['found', 'corrosion', 'floor', 'beam', 'existing', 'repair', 'sta', '1320', 'rbl24', 'rbl45', 'work', 'accomplished', 'accordance', 'fedex', 'eo', 'f5310t0366466']",FLUID LOSS                ,OTHER                     
OTHER                     ,22677,"['aft', 'megaphone', 'missing', 'volume', 'knobrr', 'aft', 'megaphone', 'iaw', 'amm', '256500', 'ops', 'check', 'good']",OTHER                     ,INADEQUATE Q C            
OTHER                     ,53787,"['aircraft', 'base', 'maintenance', 'cracked', 'intercostal', 'sta', '270', '277', 'bl', '0', 'measuring', 'l15', 'in', 'replaced', 'intercostal', 'new', 'iaw', 'aard', '510005']",OTHER                     ,NO TEST                   
FALSE WARNING             ,4494,"['aircraft', 'grounded', 'warning', 'message', 'wingtobody', 'overheat', 'flight', 'declared', 'emergency', 'returned', 'field', 'replaced', 'rh', 'outbd', 'overheat', 'detector', 'iaw', 'tsm', '261800810802', 'ops', 'check', 'good']",FALSE WARNING             ,OVER TEMP                 
OTHER                     ,11348,"['per', 'emergency', 'lights', 'ops', 'check', 'task', 'card', '78', '233008', 'found', 'r1', 'exit', 'emergency', 'light', 'inop', 'grounded', 'yes', 'removed', 'replaced', 'r1', 'passenger', 'door', 'emergency', 'light', 'battery', 'per', 'b737900', 'amm', '335106', 'ops', 'check', 'good', 'emergency', 'light', 'ok', 'servic']",OTHER                     ,NO TEST                   
OTHER                     ,13431,"['door', 'no2r', 'm33097', 'emergency', 'power', 'supply', 'battery', 'pack', 'found', 'low', 'capacity', 'ref', 'haeco', 'nonroutine', 'no', '9456203', 'originated', 'emp', 'v905495', 'spec', 'no', 'b7773337015', 'performed', 'emp', 'v905495', 'replaced', 'door', 'no2r', 'm33097', 'emergency', 'p', 'ower', 'supply', 'battery', 'pack', 'performed', 'test', 'new', 'battery', 'pack', 'per', 'amm', '335106960802', 'rev', '92a', 'test', 'result', 'normal', 'idt', 'emp', 'v905307']",OTHER                     ,NO TEST                   
OTHER                     ,29122,"['floor', 'emer', 'lighting', 'loose', 'front', 'seat', '2de', 'removed', 'service', 'resecured', 'emergency', 'floor', 'lighting', 'strip', 'defects', 'noted', 'aircraft', 'returned', 'servic']",OTHER                     ,INADEQUATE Q C            
OTHER                     ,67311,"['pda', '2', 'toilet', 'service', 'door', 'found', 'missing', 'aircraft', 'upon', 'arrival', 'ord', 'complied', 'gmm', 'ref', '023095']",OTHER                     ,INFLIGHT SEPARATION       
WARNING INDICATION        ,2964,"['aircraft', 'grounded', 'cabin', 'intercommunication', 'data', 'system', 'panel', 'shows', '1l', 'low', 'pressure', 'removed', 'replaced', 'scratter', 'valve', 'aala202104269003', 'door', 'bottle', 'diaphragm', 'seals', 'per', 'airbus', 'amm', '521000614001a']",WARNING INDICATION        ,OTHER                     
OTHER                     ,57388,"['aircraft', 'grounded', 'emergency', 'exit', 'light', 'seat', '22c', 'became', 'dislodged', 'supplemental', 'report', 'aala202207061992', 'replaced', 'seat', '22c', 'emergency', 'light', 'shroud', 'per', 'cmm', '252367', 'emergency', 'light', 'test', 'performed', 'good', 'clos']",OTHER                     ,NO TEST                   
OTHER                     ,58763,"['aircraft', 'grounded', 'periodic', 'service', 'check', 'found', 'l2', 'door', 'damper', 'operation', 'cylinder', 'psi', 'approx', '74', 'degree', 'fahrenheit', 'l2', '500', 'psi', 'serviced', 'l2', 'door', 'damper', 'cylinder', 'accordance', 'amm']",OTHER                     ,FLT CONT AFFECTED         
OTHER                     ,19357,"['main', 'door', 'attempting', 'close', 'main', 'cabin', 'door', 'lift', 'button', 'inside', 'acft', 'pushed', 'held', 'door', 'closed', 'tight', 'fuselage', 'however', 'door', 'locking', 'handle', 'pushed', 'lock', 'door', 'handle', 'move', 'door', 'slowly', 'fell', 'full', 'open', 'position', 'full', 'open', 'handle', 'would', 'move', 'all', 'door', 'locking', 'pins', 'full', 'retracted', 'position', 'crew', 'performed', 'door', 'reset', 'procedure', 'per', 'cessna', 'emer', 'procedures', 'checklist', 'amber', 'n1', 'procedure', 'remedy', 'malfunction', 'per', 'amcc', 'request', 'completely', 'powered', 'aircraft', 'down', 'include', 'disconnecting', 'batteries', 'approx', '1', 'minute', 'power', 'mad']",OTHER                     ,FALSE WARNING             
WARNING INDICATION        ,21360,"['fl', '360', 'standby', 'altimeter', 'reading', '300', 'feet', 'higher', 'captain', 'fo', 'altimeters', 'lower', 'altitudes', 'returned', 'normal', 'ref', 'gmm', '127600', 'standby', 'altimeter', 'crew', 'reported', 'main', 'altimeters', 'ops', 'normal', 'removed', 'replaced', 'standby', 'altimeter', 'iaw', 'mm', '3412', '2204', 'ops', 'checks', 'normal', 'time', 'ok', 'servic']",WARNING INDICATION        ,OTHER                     
FALSE WARNING             ,63952,"['1', 'engine', 'a', 'loop', 'inop', 'grounded', 'yes', 'initial', 'evaluation', 'could', 'confirm', 'defect', 'fire', 'loop', 'ab', 'b', 'ops', 'test', 'iaw', 'b737800', 'amm', '261000710801', 'faults', 'found', 'fire', 'engapu', 'mod', 'bite', 'iaw', 'b737800', 'fim', '2610', 'task', '801', 'checks', 'good', 'bite', 'pass', 'following', 'fim', '2610', 'task', '805', 'removed', 'engapu', 'fire', 'mod', 'iaw', 'amm', '261001000801', 'step', 'f7', 'loop', 'loop', 'b', 'comparison', 'resistance', 'within', 'limits', 'gvi', 'fire', 'loops', 'eng', '1', 'defects', 'noted', 'lugs', 'tight', 'secure', 'tug', 'test', 'disconnected', 'mw0315mw0325', 'brk', 'connectors', 'inspected', 'contamination', 'none', 'found', 'reconnected', 'performed', 'ops', 'test', 'again', 'test', 'pass', 'bite', 'again', 'pass', 'eec', 'test', 'iaw', 'amm', '732100700804f00', 'faults', 'found']",FALSE WARNING             ,FLAME/FIRE                
OTHER                     ,76810,"['bleed', '1', 'leak', 'flight', 'inspected', 'found', 'bleed', 'leak', 'duct', 'precooler', 'bleed', 'valve', 'rr', 'duct', 'duct', 'lh', 'pylon', 'performed', 'high', 'power', 'runs', 'eng', 'leak', 'checks', 'bld', '1', 'leak', 'check', 'noted', 'ops', 'check', 'sat', 'leak', 'check', 'sat']",OTHER                     ,FLUID LOSS                
OTHER                     ,74533,"['inspection', 'typeetops', 'filed', 'open', 'landing', 'l', 'thrust', 'rev', 'would', 'deploy', 'deferred', 'left', 'eng', 'tr', 'per', 'mel', '78311', 'cw', 'dmp', '7831']",OTHER                     ,NO WARNING INDICATION     
OTHER                     ,80421,"['lh', 'outboard', 'trailing', 'edge', 'aft', 'flap', 'lower', 'inboard', 'corner', 'delaminating', 'area', 'measures', '675l', '35h', '01', 'removed', 'replaced', 'lh', 'ob', 'aft', 'flap', 'rig', 'ops', 'chk', 'good', 'per', 'mm', '275122', '02', 'inspected', 'work', 'above', '03', 'inspected', 'work', 'above', '04', 'removed', 'replaced', 'lh', 'ob', 'aft', 'flap', 'rig', 'ops', 'chk', 'good', 'per', 'mm', '275122brsee', 'step', '1', 'work', 'completed', 'signoff']",OTHER                     ,INFLIGHT SEPARATION       
WARNING INDICATION        ,55064,"['aircraft', 'grounded', 'land', 'gear', 'doors', 'closed', 'ecam', 'gear', 'extension', 'original', 'report', 'aala202203283700', 'replaced', 'landing', 'gear', 'safety', 'valve', '49ga', 'per', 'amm', '323117', 'replaced', 'landing', 'gear', 'door', 'selector', 'valve', '41ga', 'per', 'amm', '323134', 'aala202203298902', 'replaced', 'landing', 'gear', 'selector', 'valve', '40ga', 'per', 'amm', '333112', 'aala202203298712', 'satisfactory', 'leak', 'operational', 'check', 'accomplish']",WARNING INDICATION        ,FLUID LOSS                
OTHER                     ,8909,"['aircraft', 'base', 'maintenance', 'cracked', 'right', 'hand', 'side', 'frame', 'foot', 'coupling', 'fr', '43', 's21r', 's22r', 'original', 'report', 'aala202112094786', 'replaced', 'frame', 'section', 'fitting', 'per', 'ea', '332382', 'aala202112226553']",OTHER                     ,NO TEST                   
OTHER                     ,85822,"['inop', 'emergency', 'exit', 'light', 'battery', 'pack', 'm1670', 'passenger', 'cabin', '1', 'ea', '2022274957', '01', 'replaced', 'emergency', 'exit', 'light', 'battery', 'pack', 'm1670', 'passenger', 'cabin', 'iaw', 'b737700', 'amm', '335106960805', 'brand', 'performed', 'test', 'okbrsee', 'individual', 'sign', 'offs', 'below02', 'replaced', 'emergency', 'exit', 'light', 'battery', 'pack', 'm1670', 'passenger', 'cabin', 'iaw', 'b737700', 'amm', '335106960805', 'brand', 'performed', 'test', 'ok', 'brsee', 'individual', 'sign', 'off']",OTHER                     ,NO TEST                   
OTHER                     ,47463,"['fs', '280', 'rbl', '9', 'suport', 'clip', 'cracked', 'ccheck', 'ro', '4122021', 'repaired', 'fs280', 'rbl9', 'iaw', 'reo', '601r53213407', 'rev', 'dated', '03022021', 'form', '337', 'major', 'repair', 'task', 'card', '519001003sky', 'completed', 'attached', 'weight', 'change', 'see', 'continuation', 'card', 'details', 'work', 'perform']",OTHER                     ,INADEQUATE Q C            
